Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Paralabrax clathratus,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,7.8125,10.416666666666666,11.015012139087384,40.625,0,Group 6,Offshore
Paralabrax clathratus,Parallel,Up-current,High Relief,West Parallel Mid_High,4.635721104933641,7.987374914364083,10.288069996401596,32.027453728204605,0,Group 6,Offshore
Paralabrax clathratus,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,13.986934042776745,15.239165815076369,10.398837709989278,32.78783725310582,0,Group 6,Offshore
Paralabrax clathratus,Perpendicular,Down-current,High Relief,East Perpendicular Mid_High,6.300886285623806,8.583072128313008,6.1408815356718165,18.170801518377132,2.552333382295601,Group 6,East
Paralabrax clathratus,Perpendicular,Up-current,Medium Ecotone,West Perpendicular Ecotone_Medium,3.125,5.729166666666667,7.2393959807891894,18.75,0,Group 6,West
Paralabrax clathratus,Perpendicular,Up-current,Medium Relief,West Perpendicular Mid_Medium,8.81726582040076,8.420155757547398,4.969532462986649,15.5440868485428,0,Group 6,West
Oxyjulis californica,Perpendicular,Up-current,High Relief,West Perpendicular Mid_High,0,0.8299391723149832,1.2884162533353694,2.6211450699930463,0,Group 1,West
Oxyjulis californica,Perpendicular,Down-current,High Ecotone,East Perpendicular Ecotone_High,0,77.60416666666667,188.5638223630574,462.5,0,Group 2,East
Oxyjulis californica,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,0,0,0,0,0,Group 3,Inshore
Oxyjulis californica,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0,1.3020833333333333,3.113140374673818,9.375,0,Group 3,Inshore
Oxyjulis californica,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,0,2.6041666666666665,6.640276840249322,21.875,0,Group 3,Inshore
Oxyjulis californica,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,0,3.1496718434538398,8.205443005229737,28.425968510325216,0,Group 3,Inshore
Oxyjulis californica,Parallel,Down-current,Low Relief,East Parallel Mid_Low,0,1.3619955555743493,3.487681777771669,11.526168647433433,0,Group 4,Inshore
Oxyjulis californica,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,0,1.3020833333333333,2.813551991807875,9.375,0,Group 4,Offshore
Oxyjulis californica,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,0,0.2604166666666667,0.9021097956087902,3.125,0,Group 4,Offshore
Oxyjulis californica,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,0,1.0635282147895841,1.6513442623474526,3.3660585741945597,0,Group 4,East
Oxyjulis californica,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,1.5625,11.458333333333334,17.305466381079324,40.625,0,Group 4,West
Oxyjulis californica,Parallel,Down-current,High Relief,East Parallel Mid_High,0.8819187059696356,5.542989572057187,9.093186999073417,23.762723345252763,0,Group 5,Inshore
Oxyjulis californica,Parallel,Up-current,Low Relief,West Parallel Mid_Low,0,0.740341638283565,1.791190643845655,5.538785592321256,0,Group 5,Offshore
Oxyjulis californica,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,0,5.208333333333333,12.757759076995718,31.25,0,Group 5,East
Oxyjulis californica,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,1.5625,6.25,11.004260538536881,28.125,0,Group 5,East
